time,num
0.0,-1
0.8700000000000045,201567
1.6299999999999955,202681
7.75,2544
14.350000000000023,202389
16.340000000000032,201939
22.230000000000018,202389
22.710000000000036,202681
23.629999999999995,2747
23.99000000000001,202389
28.25,202691
31.480000000000018,203110
32.26999999999998,201575
33.629999999999995,2544
39.75999999999999,201567
44.25999999999999,2544
48.84000000000003,2747
51.32000000000005,201567
54.98000000000002,202691
61.07000000000005,202389
63.860000000000014,2544
64.82000000000005,202681
74.38,201567
77.09000000000003,203110
84.53999999999996,201575
85.13999999999999,202691
88.48000000000002,202389
89.63999999999999,201567
93.58000000000004,202681
103.10000000000002,201567
105.57000000000005,2544
106.40999999999997,202681
112.13999999999999,2544
114.85000000000002,201567
115.13,2544
116.75999999999999,201939
122.09000000000003,201575
124.21000000000004,201939
126.85000000000002,201567
129.97000000000003,203110
131.39999999999998,202681
140.33000000000004,201567
142.01999999999998,2747
143.95000000000005,203110
145.08000000000004,201575
145.32000000000005,203110
147.5,201939
154.5,203110
156.02999999999997,202389
160.82000000000005,2544
167.17999999999995,201567
169.11,202681
170.67999999999995,202691
172.01,201567
172.97000000000003,202681
180.05999999999995,201567
187.62,201575
190.60000000000002,203110
192.73000000000002,201939
195.40999999999997,202681
199.52999999999997,202389
200.28999999999996,202681
202.89999999999998,201567
203.76999999999998,2544
210.88,202389
212.74,201939
219.39999999999998,201567
221.67000000000002,2544
226.27999999999997,202389
227.14999999999998,2544
227.91000000000003,203110
232.22000000000003,201575
233.76,202681
242.01,202691
242.41000000000003,2544
250.01999999999998,202681
255.02999999999997,201939
260.95,203110
263.72,201939
264.73,202389
265.24,201939
266.49,203110
268.01,201567
268.48,2747
268.83,2544
271.63,202681
280.33,201567
281.11,2747
283.21,202691
285.08,201939
287.54,202681
288.0,203110
290.58,202691
292.64,2544
293.07,202389
296.23,201939
301.07,202691
303.39,2747
303.55,202389
304.63,201939
306.83,201567
309.87,2544
316.55,201567
320.55,202691
322.56,201939
330.4,203110
333.88,202389
335.28,201567
335.68,202691
338.76,202389
344.92,202681
357.45,2544
366.97,201567
371.26,202389
372.89,201567
377.39,2747
380.05,202681
382.44,201939
384.8,202389
385.21,203110
387.53,201939
392.15,203110
394.38,201567
397.51,203521
407.84,2544
413.13,202389
416.96,201939
423.26,202389
425.03,203521
437.59,202684
438.22,203110
444.28,202684
446.25,2544
457.63,202684
458.22,203110
464.32,201939
467.12,201567
470.82,203521
477.39,202684
478.4,2733
485.03,203110
485.78,201939
491.31,203110
493.88,2733
494.86,2738
497.55,202697
498.22,2733
498.93,2747
506.66999999999996,2544
510.58000000000004,202697
514.73,2733
520.34,202684
523.97,201939
525.67,202697
526.03,203521
532.71,2544
533.74,201939
538.51,2733
543.16,2544
543.52,202684
544.59,2544
559.54,203105
565.62,2733
566.42,203110
568.96,202697
574.69,203110
575.24,201939
579.7,203521
580.21,203105
581.45,201939
582.8,202697
583.83,2544
584.11,203110
585.42,202684
586.77,202389
588.0,202684
588.48,2544
602.83,203105
605.26,2738
618.34,201939
624.46,203110
626.88,203521
633.97,202697
636.46,2733
643.79,2738
647.02,203521
651.63,2592
654.63,2590
656.47,203521
659.55,203105
659.9,203110
661.93,2592
662.71,201939
664.63,2592
665.99,202697
670.68,202684
671.35,2733
677.08,203110
678.53,201939
681.57,2738
684.1,2733
688.67,203521
704.12,2590
707.09,202684
710.26,2544
