timePoint,provence,sum
0,511623,2758
0,511622,1543
0,511602,1360
0,513030,1180
0,511621,1171
0,511023,1067
0,513029,710
0,522122,577
0,510921,528
0,513021,498
0,511304,458
0,511681,451
0,510212,434
0,510202,422
0,522132,417
0,510522,411
0,510902,392
0,510213,375
0,511324,374
0,513022,359
0,512322,355
0,511321,341
0,510221,337
0,512301,336
0,510223,332
0,510322,320
0,511028,313
0,513023,302
0,510211,298
0,510521,294
0,522121,292
0,510215,282
0,510224,279
0,510230,276
0,511025,273
0,513701,272
0,513723,259
0,510283,256
0,510228,254
0,513721,252
0,510227,248
0,510922,234
0,511011,234
0,510222,232
0,510225,231
0,510214,230
0,513002,228
0,510226,225
0,511322,214
0,512323,214
0,510722,207
0,510231,202
0,511521,192
0,513822,188
0,511024,188
0,510232,186
0,510524,185
0,510219,181
0,511381,177
0,511323,174
0,513922,172
0,510321,172
0,512324,170
0,510229,170
0,513902,169
0,422802,169
0,511325,169
0,510282,162
0,510216,161
0,510525,160
0,511002,158
0,511523,156
0,513901,154
0,510623,151
0,510824,147
0,510281,146
0,522128,141
0,522228,140
0,512223,138
0,512326,133
0,512226,131
0,522125,131
0,513722,130
0,513524,128
0,513525,126
0,511526,125
0,511528,125
0,512221,124
0,511302,124
0,511303,124
0,513521,123
0,510502,120
0,510203,119
0,511202,118
0,510923,115
0,511527,114
0,511225,113
0,512222,112
0,511524,111
0,522101,109
0,511222,109
0,522124,109
0,520202,109
0,510218,109
0,511502,107
0,522427,106
0,512201,106
0,522424,105
0,513523,105
0,513001,104
0,511224,104
0,522123,103
0,510503,101
0,522401,100
0,510402,97
0,511525,97
0,510821,94
0,520203,93
0,512224,92
0,510781,90
0,511522,90
0,510121,89
0,522229,89
0,422826,87
0,510823,86
0,522425,86
0,520201,84
0,522126,81
0,522129,80
0,612425,79
0,530381,78
0,522225,78
0,513522,77
0,511923,77
0,532128,77
0,522131,76
0,510723,73
0,512227,70
0,510304,70
0,510802,70
0,522423,70
0,511223,69
0,522224,66
0,522127,66
0,511203,65
0,522130,65
0,511221,65
0,429004,63
0,513401,63
0,511529,62
0,511123,62
0,512225,61
0,510311,60
0,510622,60
0,421023,60
0,511227,59
0,532124,59
0,432524,59
0,513031,59
0,510822,58
0,522426,58
0,362330,57
0,652901,57
0,512021,57
0,520221,56
0,510182,56
0,510122,56
0,513624,56
0,530322,55
0,513821,54
0,421022,53
0,532130,53
0,511226,52
0,522226,52
0,429006,52
0,511204,52
0,522422,52
0,422801,49
0,422823,47
0,540102,47
0,510183,47
0,513437,47
0,522501,47
0,510811,46
0,430521,46
0,522527,46
0,510411,46
0,350321,45
0,522725,44
0,513426,44
0,421081,43
0,532127,43
0,512928,43
0,522227,42
0,513433,42
0,510125,42
0,350583,42
0,510113,41
0,530326,41
0,410521,41
0,532129,39
0,612401,39
0,513423,39
0,510724,38
0,510181,38
0,511102,38
0,430721,38
0,513623,37
0,513425,37
0,520181,37
0,330382,36
0,510504,36
0,420222,36
0,429005,36
0,350301,36
0,410781,36
0,522428,36
0,510129,36
0,522221,35
0,460004,35
0,513824,35
0,422822,34
0,420984,34
0,513601,34
0,510112,34
0,511124,34
0,532125,34
0,430422,34
0,510725,33
0,360124,33
0,510703,33
0,510603,33
0,362202,33
0,430703,33
0,510123,33
0,460006,33
0,511129,32
0,512921,32
0,512228,32
0,411424,31
0,362329,31
0,512925,30
0,510681,30
0,331082,30
0,320321,30
0,362502,30
0,430524,30
0,510184,30
0,612321,29
0,520103,29
0,430522,29
0,513434,29
0,430421,29
0,421083,29
