hours,ageNo,sum
0,4,427
0,3,7273
0,2,4456
0,1,8024
0,0,46
1,4,433
1,3,7933
1,2,5093
1,1,10744
1,0,57
2,4,362
2,3,6021
2,2,4321
2,1,11147
2,0,47
3,4,157
3,3,3588
3,2,2700
3,1,7745
3,0,24
4,4,119
4,3,2082
4,2,1752
4,1,4847
4,0,21
5,4,62
5,3,1274
5,2,1065
5,1,2839
5,0,12
6,4,46
6,3,920
6,2,751
6,1,2045
6,0,5
7,4,45
7,3,825
7,2,626
7,1,1537
7,0,8
8,4,39
8,3,700
8,2,475
8,1,1166
8,0,11
9,4,40
9,3,533
9,2,386
9,1,792
9,0,5
10,4,17
10,3,324
10,2,249
10,1,564
10,0,4
11,4,23
11,3,252
11,2,178
11,1,403
11,0,2
12,4,17
12,3,193
12,2,131
12,1,291
12,0,1
13,4,8
13,3,135
13,2,82
13,1,190
13,0,0
14,4,4
14,3,93
14,2,63
14,1,137
14,0,0
15,4,5
15,3,54
15,2,48
15,1,83
15,0,0
16,4,4
16,3,31
16,2,23
16,1,54
16,0,0
17,4,0
17,3,21
17,2,18
17,1,56
17,0,0
18,4,5
18,3,26
18,2,7
18,1,40
18,0,0
19,4,1
19,3,30
19,2,17
19,1,25
19,0,0
20,4,2
20,3,15
20,2,11
20,1,17
20,0,0
21,4,1
21,3,16
21,2,10
21,1,17
21,0,0
22,4,0
22,3,15
22,2,15
22,1,13
22,0,0
23,4,0
23,3,15
23,2,16
23,1,10
23,0,0
